Time(ms),AccelX,AccelY,AccelZ,label
14806.021,-0.018,-0.56,9.876,1
14942.006,-0.03,-0.516,9.866,1
15078.017,-0.021,-0.594,9.771,1
15212.977,0.006,-0.558,9.953,1
15348.993,0.006,-0.496,9.899,1
15489.971,-0.029,-0.544,9.863,1
15625.011,-0.008,-0.575,9.911,1
15760.992,-0.021,-0.556,9.888,1
15896.998,0.049,-0.544,9.896,1
16032.976,0.065,-0.55,9.82,1
16168.008,0.098,-0.491,9.925,1
16304.007,0.029,-0.527,9.908,1
16440.005,-0.027,-0.528,9.845,1
16575.982,-0.019,-0.465,9.907,1
16716.027,-0.025,-0.398,9.957,1
16851.996,0.0,-0.374,9.867,1
16988.01,-0.025,-0.198,9.96,1
17124.01,0.019,-0.262,9.818,1
17259.018,0.044,-0.231,9.934,1
17394.993,0.059,-0.213,9.858,1
17531.007,0.093,-0.123,9.939,1
17666.011,0.113,-0.189,9.959,1
17807.018,0.118,-0.226,9.915,1
17943.017,0.054,-0.153,9.972,1
18078.996,0.107,-0.115,9.992,1
18214.018,0.082,-0.15,10.01,1
18350.008,0.105,-0.107,9.911,1
18486.005,0.048,-0.093,9.877,1
18626.988,0.093,-0.101,9.956,1
18764.014,0.084,-0.08,9.982,1
18900.963,0.074,-0.098,9.858,1
19041.981,0.097,-0.025,9.952,1
19179.004,0.116,-0.05,9.955,1
19315.975,0.099,-0.094,9.917,1
19453.047,0.115,-0.128,9.815,1
19589.012,0.07,-0.124,9.939,1
19725.96,0.137,-0.084,9.885,1
19862.949,0.115,-0.116,9.952,1
19999.992,0.152,-0.137,9.893,1
20141.994,0.118,-0.139,9.826,1
20278.98,0.138,-0.14,9.846,1
20415.029,0.112,0.027,9.95,1
20549.972,0.121,-0.057,9.943,1
20686.973,0.178,-0.053,9.95,1
20823.013,0.157,-0.101,9.896,1
20959.04,0.047,-0.016,10.036,1
21108.012,0.171,-0.083,9.852,1
21244.016,0.091,-0.107,9.907,1
21421.997,0.095,-0.063,9.879,1
21562.016,0.129,-0.057,9.902,1
21701.999,0.182,0.038,10.03,1
21840.994,0.111,-0.039,9.863,1
21981.992,0.103,0.051,9.914,1
22121.978,0.126,0.041,9.784,1
22261.997,0.089,0.033,9.97,1
22402.035,0.073,0.036,9.841,1
22541.987,0.112,0.102,9.894,1
22687.985,0.108,0.086,9.957,1
22829.997,0.173,0.046,9.962,1
22969.02,0.161,0.064,9.846,1
23108.974,0.146,0.036,9.968,1
23248.991,0.161,0.009,9.928,1
23388.024,0.136,-0.003,9.941,1
23528.018,0.219,0.028,9.95,1
23667.01,0.185,0.028,9.905,1
23812.998,0.114,-0.007,9.878,1
23953.003,0.129,-0.036,9.942,1
24091.981,0.17,-0.027,9.874,1
24232.007,0.163,-0.026,9.894,1
24372.009,0.256,-0.031,9.941,1
24510.979,0.193,-0.079,9.905,1
24650.98,0.245,-0.116,9.936,1
24791.01,0.253,-0.07,9.884,1
24930.023,0.197,-0.091,9.89,1
25075.998,0.199,-0.112,9.919,1
25214.96,0.197,-0.126,9.904,1
25354.99,0.208,-0.053,9.911,1
25494.962,0.243,-0.096,9.856,1
25633.993,0.188,-0.094,9.939,1
25774.003,0.207,-0.049,9.866,1
25913.995,0.203,-0.003,9.93,1
26053.023,0.161,-0.065,9.985,1
26198.983,0.165,-0.038,9.953,1
26338.028,0.171,-0.144,9.86,1
26477.991,0.218,-0.059,9.896,1
26618.026,0.225,-0.085,9.927,1
26757.009,0.162,-0.109,9.885,1
26897.012,0.154,-0.083,9.909,1
27036.989,0.178,-0.108,9.944,1
27175.987,0.141,-0.105,9.978,1
27315.992,0.19,-0.142,9.917,1
27460.965,0.203,-0.134,9.951,1
27600.977,0.191,-0.222,9.914,1
27740.943,0.191,-0.18,9.904,1
27879.982,0.21,-0.101,9.941,1
28058.978,0.161,-0.13,9.897,1
28199.028,0.164,-0.124,9.934,1
28338.024,0.19,-0.188,9.937,1
28484.969,0.17,-0.102,9.939,1
28629.978,0.226,-0.081,9.94,1
28769.97,0.185,-0.16,9.845,1
28909.991,0.178,-0.13,9.95,1
29049.009,0.134,-0.161,10.021,1
29189.005,0.208,-0.111,9.883,1
29329.027,0.188,-0.172,9.856,1
29468.042,0.214,-0.145,9.899,1
29607.992,0.25,-0.076,9.959,1
29748.019,0.201,-0.13,9.893,1
29893.015,0.188,-0.174,9.869,1
30033.03,0.202,-0.119,9.983,1
30171.981,0.171,-0.105,9.926,1
30313.023,0.137,-0.153,9.83,1
30453.996,0.116,-0.132,9.866,1
30592.994,0.167,-0.154,9.989,1
30732.983,0.193,-0.078,9.953,1
30873.024,0.138,-0.181,9.925,1
31017.978,0.164,-0.04,9.971,1
31158.012,0.162,-0.142,9.958,1
31296.953,0.17,-0.164,9.957,1
31437.044,0.163,-0.175,9.967,1
31576.989,0.158,-0.174,9.897,1
31715.993,0.174,-0.161,9.91,1
31856.003,0.204,-0.143,9.966,1
31996.042,0.206,-0.207,9.966,1
32134.981,0.188,-0.157,9.919,1
32280.984,0.221,-0.175,9.862,1
32419.978,0.169,-0.123,9.873,1
32560.011,0.179,-0.144,9.898,1
32700.016,0.266,-0.175,9.889,1
2785.025,0.168,-0.334,9.938,1
2922.015,0.367,-0.343,9.845,1
3059.994,0.148,-0.202,10.188,1
3197.997,0.149,-0.171,10.474,1
3335.026,0.084,-0.397,10.055,1
3473.015,0.207,-0.557,9.633,1
3611.025,-0.043,-0.536,9.759,1
3748.966,0.309,-0.28,10.471,1
3892.987,0.029,-0.478,9.656,1
4031.009,0.338,-0.441,9.857,1
4168.002,0.399,-0.108,9.393,1
4304.98,0.332,-0.309,9.886,1
4442.027,0.22,-0.359,10.072,1
4579.02,0.16,-0.406,9.847,1
4714.017,0.228,-0.501,9.981,1
4850.054,0.084,-0.475,9.92,1
4985.939,0.107,-0.538,9.741,1
5126.004,-0.016,-0.285,10.067,1
5261.941,0.016,-0.1,9.894,1
5397.971,0.043,-0.253,9.721,1
5534.004,-0.034,-0.23,9.757,1
5669.03,-0.07,-0.366,9.76,1
5805.001,-0.019,-0.385,9.857,1
5940.981,0.095,-0.382,9.813,1
6076.999,0.081,-0.391,9.893,1
6218.014,0.107,-0.396,9.962,1
6353.974,0.073,-0.424,9.974,1
6489.994,0.068,-0.432,9.936,1
6624.99,0.088,-0.465,9.936,1
6760.977,0.076,-0.518,9.8,1
6896.979,0.059,-0.394,9.954,1
7033.023,-0.003,-0.456,9.896,1
7167.979,-0.048,-0.561,9.884,1
7304.017,0.018,-0.508,9.875,1
7444.997,0.067,-0.521,9.854,1
7580.982,0.029,-0.461,9.794,1
7716.034,-0.044,-0.377,9.91,1
7851.969,-0.15,-0.485,9.768,1
7988.01,0.062,-0.379,9.964,1
8124.006,0.048,-0.425,9.852,1
8258.98,-0.025,-0.396,9.915,1
8394.987,0.012,-0.478,9.855,1
8531.011,-0.002,-0.456,9.878,1
8671.037,-0.01,-0.413,9.945,1
8807.001,-0.029,-0.429,9.959,1
8942.977,0.038,-0.472,9.963,1
9079.02,-0.005,-0.432,9.915,1
9214.001,0.048,-0.446,9.85,1
9349.999,0.09,-0.439,9.999,1
9486.036,0.094,-0.509,9.846,1
9622.008,0.084,-0.539,9.966,1
9761.984,0.03,-0.728,9.732,1
9897.985,-0.066,-0.609,10.006,1
10034.029,-0.037,-0.659,9.787,1
10168.998,-0.077,-0.64,10.029,1
10304.985,-0.077,-0.668,9.874,1
10440.988,-0.064,-0.692,9.958,1
10577.011,-0.097,-0.666,9.942,1
10711.992,-0.056,-0.72,9.843,1
10848.015,-0.111,-0.714,9.99,1
10988.978,-0.083,-0.724,9.902,1
11125.011,-0.07,-0.615,9.876,1
11259.998,-0.052,-0.588,9.906,1
11396.009,-0.064,-0.635,9.925,1
11532.006,-0.039,-0.535,9.966,1
11666.996,-0.025,-0.501,9.899,1
11802.997,-0.082,-0.584,10.017,1
11938.977,-0.004,-0.514,9.938,1
12080.003,0.008,-0.527,9.861,1
12215.014,-0.024,-0.567,9.948,1
12351.024,-0.059,-0.595,9.891,1
12487.011,-0.038,-0.592,9.994,1
12622.972,-0.021,-0.59,9.815,1
12758.02,-0.024,-0.605,9.924,1
12893.998,-0.019,-0.632,9.878,1
13029.991,-0.079,-0.589,9.899,1
13170.987,-0.022,-0.671,9.898,1
13306.998,-0.097,-0.713,9.875,1
13442.989,-0.112,-0.649,9.853,1
13578.993,-0.185,-0.591,9.942,1
13713.966,-0.065,-0.612,9.832,1
13850.008,-0.05,-0.551,9.926,1
13985.976,-0.114,-0.635,9.921,1
14121.971,-0.004,-0.596,9.782,1
14257.001,-0.043,-0.508,9.88,1
14399.019,-0.032,-0.514,9.897,1
14534.979,-0.046,-0.534,9.903,1
14669.99,-0.039,-0.551,9.918,1
14805.978,-0.065,-0.559,9.903,1
14942.003,-0.011,-0.578,9.918,1
15078.013,0.013,-0.577,9.833,1
15213.009,0.036,-0.536,9.939,1
15349.036,-0.009,-0.52,9.908,1
15489.97,-0.03,-0.532,9.89,1
15624.995,-0.029,-0.541,9.909,1
15760.956,-0.03,-0.542,9.875,1
15896.995,-0.01,-0.547,9.908,1
16033.013,0.033,-0.525,9.871,1
16168.029,0.028,-0.475,9.917,1
16303.982,0.007,-0.503,9.901,1
16440.005,0.001,-0.501,9.864,1
16575.97,-0.002,-0.511,9.927,1
16715.99,0.022,-0.413,9.939,1
16851.975,-0.059,-0.434,9.872,1
16988.019,0.03,-0.214,9.952,1
17123.998,0.037,-0.268,9.798,1
17259.006,0.014,-0.266,9.927,1
17394.977,0.056,-0.258,9.91,1
17531.004,0.096,-0.117,9.92,1
17666.021,0.097,-0.184,9.963,1
17807.029,0.137,-0.194,9.893,1
17942.949,0.042,-0.146,9.969,1
18079.004,0.127,-0.068,9.988,1
18213.992,0.072,-0.153,9.979,1
18350.009,0.089,-0.128,9.916,1
18485.96,0.06,-0.099,9.907,1
18626.99,0.068,-0.079,9.952,1
18763.991,0.085,-0.082,10.007,1
18900.983,0.076,-0.068,9.891,1
19041.98,0.053,-0.076,9.941,1
19178.993,0.118,-0.01,9.93,1
19315.979,0.096,-0.092,9.885,1
19453.015,0.092,-0.133,9.829,1
19588.969,0.09,-0.093,9.895,1
19725.987,0.173,-0.08,9.879,1
19863.008,0.131,-0.102,9.926,1
20000.007,0.092,-0.138,9.851,1
20141.968,0.139,-0.19,9.78,1
20278.994,0.145,-0.074,9.863,1
20414.992,0.127,-0.022,9.959,1
20549.991,0.113,-0.007,9.93,1
20686.983,0.148,0.003,9.941,1
20822.979,0.151,-0.08,9.896,1
20959.053,0.086,-0.013,10.017,1
21108.014,0.114,-0.068,9.893,1
21243.994,0.122,-0.131,9.924,1
21422.021,0.178,-0.079,9.858,1
21561.994,0.107,-0.037,9.905,1
21701.976,0.175,0.06,9.992,1
21841.007,0.097,-0.046,9.917,1
21981.992,0.08,0.036,9.966,1
22122.01,0.111,0.041,9.825,1
22261.946,0.09,0.051,9.981,1
22402.001,0.059,0.081,9.898,1
22541.994,0.115,0.098,9.9,1
22687.985,0.104,0.036,9.935,1
22830.022,0.154,0.08,9.959,1
22969.047,0.142,0.069,9.869,1
23109.026,0.136,0.019,9.981,1
23248.993,0.152,0.005,9.925,1
23388.033,0.127,-0.033,9.945,1
23528.018,0.19,-0.056,9.931,1
23666.998,0.163,0.021,9.884,1
23812.991,0.157,0.002,9.912,1
23953.015,0.127,-0.012,9.938,1
24091.967,0.186,-0.057,9.913,1
24231.977,0.166,-0.083,9.868,1
24372.024,0.233,-0.041,9.959,1
24510.994,0.207,-0.077,9.89,1
24650.974,0.23,-0.069,9.958,1
24790.97,0.221,-0.102,9.921,1
24929.981,0.214,-0.101,9.926,1
25075.971,0.203,-0.136,9.933,1
25214.976,0.231,-0.127,9.895,1
25354.981,0.18,-0.049,9.908,1
25494.952,0.178,-0.115,9.83,1
25633.997,0.174,-0.105,9.958,1
25773.937,0.249,-0.056,9.893,1
25913.973,0.211,-0.034,9.933,1
26053.022,0.207,-0.027,9.979,1
26199.02,0.193,-0.066,9.974,1
26338.022,0.231,-0.16,9.847,1
26477.965,0.244,-0.071,9.863,1
26618.052,0.192,-0.078,9.908,1
26756.987,0.217,-0.122,9.942,1
26896.99,0.207,-0.12,9.927,1
27036.991,0.178,-0.09,9.95,1
27176.002,0.174,-0.117,9.942,1
27316.014,0.205,-0.145,9.925,1
27461.026,0.149,-0.136,9.951,1
27600.974,0.196,-0.201,9.914,1
27740.951,0.197,-0.22,9.877,1
27879.999,0.22,-0.14,9.934,1
28059.03,0.188,-0.12,9.903,1
28198.996,0.163,-0.127,9.946,1
28338.027,0.144,-0.197,9.944,1
28484.977,0.186,-0.093,9.919,1
28630.017,0.191,-0.152,9.888,1
28770.007,0.197,-0.212,9.895,1
28910.015,0.163,-0.127,10.004,1
29048.99,0.147,-0.164,10.0,1
29188.997,0.198,-0.153,9.904,1
29328.999,0.172,-0.165,9.876,1
29467.974,0.238,-0.136,9.926,1
29607.97,0.242,-0.086,9.942,1
29747.995,0.211,-0.192,9.868,1
29892.998,0.202,-0.128,9.887,1
30032.993,0.206,-0.145,9.972,1
30172.02,0.203,-0.152,9.93,1
30313.007,0.131,-0.189,9.857,1
30454.005,0.156,-0.196,9.895,1
30593.012,0.165,-0.082,10.019,1
30733.017,0.178,-0.086,9.99,1
30872.993,0.158,-0.184,9.933,1
31017.975,0.166,-0.063,9.979,1
31157.977,0.165,-0.143,9.967,1
31296.979,0.175,-0.166,9.978,1
31437.041,0.182,-0.129,9.969,1
31577.032,0.177,-0.151,9.915,1
31716.064,0.206,-0.123,9.899,1
31856.007,0.209,-0.117,9.971,1
31995.996,0.223,-0.174,9.956,1
32135.004,0.175,-0.187,9.953,1
32281.006,0.215,-0.187,9.896,1
32420.012,0.163,-0.154,9.923,1
32559.976,0.14,-0.153,9.929,1
32700.003,0.244,-0.133,9.895,1
2785.015,0.18,-0.308,9.942,1
2922.038,0.357,-0.371,9.832,1
3060.018,0.156,-0.239,10.179,1
3197.972,0.194,-0.114,10.474,1
3334.978,0.082,-0.448,10.052,1
3473.02,0.239,-0.578,9.626,1
3611.043,-0.08,-0.527,9.781,1
3748.994,0.287,-0.281,10.495,1
3892.968,0.048,-0.506,9.657,1
4030.981,0.37,-0.482,9.866,1
4167.962,0.385,-0.105,9.298,1
4304.984,0.322,-0.302,9.855,1
4442.0,0.22,-0.36,10.08,1
4579.002,0.225,-0.415,9.889,1
4714.013,0.246,-0.504,9.976,1
4849.988,0.106,-0.433,9.898,1
4985.998,0.106,-0.541,9.737,1
5125.988,-0.035,-0.302,10.145,1
5261.993,0.061,-0.116,9.842,1
5397.951,0.025,-0.23,9.772,1
5533.98,-0.037,-0.249,9.751,1
5669.021,-0.052,-0.359,9.753,1
5804.955,-0.002,-0.407,9.88,1
5940.998,0.133,-0.398,9.81,1
6077.023,0.069,-0.406,9.896,1
6218.007,0.051,-0.432,9.93,1
6354.007,0.036,-0.43,9.972,1
6489.995,0.059,-0.473,9.908,1
6625.013,0.068,-0.495,9.943,1
6760.973,0.077,-0.466,9.812,1
6897.008,0.037,-0.366,9.96,1
7032.984,-0.026,-0.42,9.82,1
7167.99,-0.045,-0.552,9.906,1
7303.999,0.015,-0.506,9.808,1
7444.948,0.059,-0.509,9.861,1
7581.03,0.016,-0.451,9.837,1
7715.941,-0.093,-0.469,9.958,1
7851.992,-0.152,-0.499,9.806,1
7988.019,0.029,-0.319,9.978,1
8124.022,-0.045,-0.369,9.871,1
8259.005,0.007,-0.403,9.912,1
8394.997,0.001,-0.472,9.818,1
8531.0,0.021,-0.427,9.842,1
8670.964,-0.026,-0.436,9.892,1
8806.987,-0.023,-0.442,9.951,1
8943.023,0.049,-0.489,9.93,1
9078.977,0.02,-0.426,9.904,1
9213.999,0.068,-0.454,9.836,1
9349.967,0.094,-0.416,10.011,1
9486.027,0.072,-0.532,9.827,1
9621.986,0.052,-0.502,9.965,1
9762.021,0.02,-0.683,9.725,1
9898.01,-0.07,-0.59,10.002,1
10034.009,-0.025,-0.723,9.817,1
10169.002,-0.044,-0.653,10.006,1
10304.975,-0.156,-0.671,9.867,1
10441.004,-0.043,-0.7,9.925,1
10576.992,-0.058,-0.677,9.952,1
10712.005,-0.119,-0.742,9.841,1
10848.011,-0.065,-0.678,9.997,1
10989.009,-0.101,-0.7,9.893,1
11125.022,-0.032,-0.614,9.894,1
11259.964,-0.048,-0.604,9.937,1
11395.967,-0.037,-0.641,9.891,1
11532.002,-0.073,-0.517,9.947,1
11666.997,0.009,-0.549,9.891,1
2663.995,-9.717,1.737,-0.55,2
2800.004,-9.663,1.651,-0.488,2
2936.958,-9.558,1.649,-0.604,2
3074.012,-9.606,1.476,-0.326,2
3209.975,-9.688,1.888,-0.128,2
3347.013,-9.693,1.701,-0.387,2
3484.004,-9.565,1.829,-0.502,2
3621.026,-9.727,1.733,-0.2,2
3764.015,-9.704,1.506,-0.335,2
3900.963,-9.549,1.605,-0.644,2
4038.033,-9.823,1.416,-0.232,2
4173.992,-9.621,1.841,-0.272,2
4310.969,-9.611,1.629,-0.278,2
4448.024,-9.695,1.485,-0.577,2
4582.97,-9.776,1.492,-0.492,2
4719.014,-9.596,1.908,-0.429,2
4854.976,-9.579,1.751,-0.183,2
4997.009,-9.643,1.653,-0.349,2
5133.015,-9.655,1.596,-0.351,2
5269.008,-9.645,1.729,-0.442,2
5405.016,-9.627,1.771,-0.425,2
5540.994,-9.573,1.689,-0.148,2
5676.014,-9.65,1.786,-0.312,2
5811.973,-9.667,1.753,-0.301,2
5947.985,-9.605,1.582,-0.308,2
6083.013,-9.704,1.74,-0.474,2
6225.017,-9.518,1.976,-0.548,2
6361.007,-9.652,1.594,-0.442,2
6497.004,-9.623,1.837,-0.388,2
6631.981,-9.629,1.858,-0.411,2
6768.011,-9.667,1.687,-0.448,2
6904.015,-9.738,1.583,-0.387,2
7039.97,-9.623,1.606,-0.444,2
7175.034,-9.655,1.643,-0.541,2
7315.998,-9.615,1.729,-0.045,2
7451.999,-9.663,1.414,-0.24,2
7587.037,-9.654,1.718,-0.787,2
7722.973,-9.634,1.85,-0.144,2
7859.015,-9.641,1.595,-0.145,2
7994.983,-9.708,1.796,-0.679,2
8129.978,-9.691,1.606,-0.222,2
8265.949,-9.559,1.861,-0.149,2
8401.952,-9.636,1.674,-0.271,2
8541.994,-9.61,1.781,-0.264,2
8679.009,-9.585,1.78,-0.614,2
8815.002,-9.714,1.824,-0.093,2
8951.019,-9.604,1.912,-0.221,2
9086.005,-9.583,1.901,-0.502,2
9222.013,-9.708,1.473,-0.536,2
9358.015,-9.71,1.844,-0.46,2
9493.988,-9.597,2.004,-0.377,2
9629.027,-9.602,1.897,-0.275,2
9770.02,-9.65,1.739,-0.491,2
9906.036,-9.603,1.827,-0.461,2
10040.971,-9.609,1.882,-0.17,2
10176.989,-9.704,1.553,-0.371,2
10312.978,-9.625,1.734,-0.486,2
10448.993,-9.592,1.892,-0.331,2
10583.964,-9.564,1.872,-0.233,2
10719.995,-9.649,1.793,-0.407,2
10861.004,-9.606,1.862,-0.378,2
10997.011,-9.621,1.831,-0.483,2
11131.994,-9.628,2.035,-0.534,2
11268.019,-9.76,1.775,-0.23,2
11403.989,-9.646,1.574,-0.47,2
11539.985,-9.711,1.554,-0.596,2
11675.007,-9.741,1.632,-0.267,2
11810.982,-9.587,1.819,-0.274,2
11946.999,-9.652,1.827,-0.411,2
12087.016,-9.616,1.839,-0.473,2
12222.985,-9.555,1.629,-0.409,2
12358.982,-9.721,1.765,-0.36,2
12494.972,-9.561,1.853,-0.309,2
12630.026,-9.6,1.839,-0.276,2
12766.054,-9.563,1.922,-0.309,2
12901.972,-9.631,1.754,-0.353,2
13037.995,-9.636,1.892,-0.425,2
13172.991,-9.572,1.78,-0.402,2
13314.984,-9.59,1.989,-0.238,2
13451.022,-9.587,1.578,-0.253,2
13585.977,-9.692,1.748,-0.341,2
13722.031,-9.733,1.578,-0.228,2
13857.999,-9.646,1.681,-0.442,2
13993.98,-9.652,1.616,-0.321,2
14129.043,-9.679,1.748,-0.298,2
14264.972,-9.667,1.607,-0.463,2
14406.006,-9.625,1.877,-0.563,2
14541.002,-9.679,1.754,-0.391,2
14676.945,-9.631,1.779,-0.323,2
14812.987,-9.762,1.797,-0.251,2
14948.968,-9.718,1.623,-0.591,2
15083.992,-9.698,1.664,-0.397,2
15220.039,-9.696,1.662,-0.286,2
15355.98,-9.606,1.823,-0.195,2
15492.011,-9.721,1.683,-0.235,2
15632.013,-9.521,1.984,-0.524,2
15767.995,-9.599,1.958,-0.25,2
15904.023,-9.657,1.648,-0.394,2
16040.012,-9.626,1.606,-0.432,2
16175.035,-9.59,1.84,-0.296,2
16311.036,-9.643,1.72,-0.326,2
16447.0,-9.556,1.938,-0.503,2
16582.99,-9.639,1.705,-0.333,2
16722.993,-9.625,1.716,-0.406,2
16858.975,-9.691,1.594,-0.356,2
16995.033,-9.725,1.692,-0.341,2
17136.99,-9.706,1.921,-0.427,2
17272.998,-9.71,1.506,-0.287,2
17409.013,-9.624,1.774,-0.637,2
17544.001,-9.635,1.979,-0.449,2
17680.008,-9.631,1.836,-0.143,2
17815.959,-9.587,1.743,-0.35,2
17966.997,-9.616,1.984,-0.284,2
18113.008,-9.611,1.645,-0.32,2
18249.003,-9.644,1.903,-0.566,2
18384.002,-9.606,1.737,-0.201,2
18520.016,-9.75,1.752,-0.363,2
18655.994,-9.641,1.697,-0.471,2
18790.986,-9.629,1.906,-0.178,2
18926.995,-9.688,1.676,-0.558,2
19068.983,-9.621,1.725,-0.368,2
19204.978,-9.646,1.755,-0.348,2
19340.002,-9.642,1.771,-0.469,2
19475.969,-9.654,1.645,-0.414,2
19612.02,-9.643,1.52,-0.318,2
19747.987,-9.601,1.802,-0.524,2
19883.021,-9.682,1.822,-0.196,2
20019.009,-9.717,1.689,-0.294,2
20155.006,-9.599,1.909,-0.43,2
20295.02,-9.651,1.567,-0.082,2
20431.001,-9.682,1.57,-0.508,2
20567.016,-9.594,1.828,-0.366,2
20702.99,-9.71,1.64,-0.226,2
20837.99,-9.69,1.539,-0.384,2
20974.032,-9.671,1.748,-0.302,2
21109.996,-9.622,1.823,-0.44,2
21246.004,-9.609,1.981,-0.271,2
21403.012,-9.626,1.438,-0.231,2
21541.989,-9.661,1.437,-0.595,2
21681.987,-9.603,1.849,-0.31,2
21821.943,-9.636,2.058,-0.358,2
21960.974,-9.572,2.009,-0.172,2
22100.976,-9.625,1.428,-0.488,2
22240.991,-9.613,1.601,-0.351,2
22379.962,-9.655,1.934,-0.254,2
22519.977,-9.61,1.692,-0.224,2
22666.006,-9.669,1.78,-0.48,2
22804.995,-9.585,1.788,-0.353,2
22945.006,-9.614,1.745,-0.26,2
23083.99,-9.599,1.833,-0.283,2
23223.996,-9.617,1.777,-0.302,2
23363.985,-9.551,1.972,-0.469,2
23502.978,-9.602,1.701,-0.424,2
23642.992,-9.67,1.66,-0.325,2
23788.033,-9.587,2.104,-0.408,2
23927.993,-9.597,1.962,-0.292,2
24067.98,-9.667,1.708,-0.474,2
24208.021,-9.675,1.74,-0.588,2
24347.013,-9.593,1.809,-0.337,2
24487.003,-9.615,1.969,-0.257,2
24626.006,-9.611,1.938,-0.152,2
24766.014,-9.688,1.642,-0.434,2
24905.978,-9.633,1.78,-0.495,2
25051.043,-9.675,1.824,-0.211,2
25191.017,-9.671,1.796,-0.398,2
25330.974,-9.566,1.656,-0.35,2
25470.004,-9.628,1.871,-0.419,2
25609.996,-9.515,1.813,-0.174,2
25749.997,-9.678,1.7,-0.238,2
25889.016,-9.606,2.0,-0.499,2
26029.016,-9.653,1.85,-0.227,2
26168.031,-9.606,1.936,-0.814,2
26313.015,-9.56,1.831,-0.369,2
26452.975,-9.701,1.659,-0.343,2
26592.002,-9.586,2.025,-0.302,2
26732.01,-9.561,1.944,-0.172,2
26872.001,-9.676,1.742,-0.592,2
27010.988,-9.578,1.979,-0.331,2
27150.99,-9.594,1.757,-0.463,2
27291.023,-9.609,1.975,-0.329,2
27436.012,-9.631,1.799,-0.435,2
27575.98,-9.586,1.938,-0.35,2
